,b'Apple_scab',b'Bacterial_spot',b'Bacterialblight',b'Black_rot',b'Blast',b'Brownspot',b'Cedar_apple_rust',b'Cercospora_leaf_spot Gray_leaf_spot',b'Common_rust_',b'Early_blight',b'Esca_(Black_Measles)',b'Haunglongbing_(Citrus_greening)',b'Late_blight',b'Leaf_Mold',b'Leaf_blight_(Isariopsis_Leaf_Spot)',b'Leaf_scorch',b'Northern_Leaf_Blight',b'Powdery_mildew',b'Septoria_leaf_spot',b'Spider_mites Two-spotted_spider_mite',b'Target_Spot',b'Tomato_Yellow_Leaf_Curl_Virus',b'Tomato_mosaic_virus',b'Tungro',b'healthy'
b'Apple_scab',411,8,0,8,0,0,4,1,0,1,0,0,3,1,1,2,0,2,2,0,2,0,0,0,58
b'Bacterial_spot',5,1228,0,12,0,0,9,4,0,3,0,1,16,0,1,0,0,8,3,2,2,4,0,0,64
b'Bacterialblight',0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b'Black_rot',3,7,0,835,0,0,2,0,0,1,5,2,0,0,8,0,0,1,2,0,5,0,1,0,97
b'Blast',0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b'Brownspot',0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b'Cedar_apple_rust',0,2,0,0,0,0,422,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,11
b'Cercospora_leaf_spot Gray_leaf_spot',1,3,0,0,0,0,0,338,3,0,1,0,1,0,0,0,40,9,0,0,2,0,0,0,12
b'Common_rust_',0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b'Early_blight',0,5,0,5,0,0,0,0,0,929,0,0,5,0,0,1,1,0,0,5,0,3,0,0,11
b'Esca_(Black_Measles)',0,4,0,5,0,0,0,0,0,1,455,0,1,2,2,1,0,0,0,0,0,0,0,0,9
b'Haunglongbing_(Citrus_greening)',0,14,0,9,0,0,1,0,0,0,0,468,1,0,0,0,0,0,1,1,0,6,0,0,2
b'Late_blight',0,12,0,2,0,0,5,0,0,17,1,0,831,1,0,0,0,9,2,12,0,4,0,0,52
b'Leaf_Mold',0,2,0,0,0,0,0,0,0,1,0,0,2,455,0,0,0,1,0,2,0,0,3,0,4
b'Leaf_blight_(Isariopsis_Leaf_Spot)',0,0,0,4,0,0,0,0,0,0,2,0,2,0,422,0,0,0,0,0,0,0,0,0,0
b'Leaf_scorch',0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,432,0,2,0,0,0,0,0,0,6
b'Northern_Leaf_Blight',0,0,0,3,0,0,1,6,1,0,0,0,2,0,1,0,453,3,0,0,0,0,0,0,7
b'Powdery_mildew',0,6,0,0,0,0,2,2,0,0,0,1,2,0,1,0,3,822,0,1,0,4,2,0,9
b'Septoria_leaf_spot',3,11,0,6,0,0,0,0,0,5,0,2,5,2,0,4,0,0,302,4,5,0,3,0,84
b'Spider_mites Two-spotted_spider_mite',0,7,0,1,0,0,0,1,0,0,4,2,8,2,0,0,0,0,3,373,11,3,0,0,20
b'Target_Spot',0,6,0,5,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,7,375,0,10,0,49
b'Tomato_Yellow_Leaf_Curl_Virus',0,24,0,7,0,0,1,0,0,5,1,5,7,2,1,0,0,4,0,8,1,414,0,0,10
b'Tomato_mosaic_virus',2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,431,0,12
b'Tungro',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0
b'healthy',13,16,0,15,0,0,4,0,0,6,1,0,7,1,1,0,0,0,1,3,6,0,1,0,5497
