,b'Apple',b'Blueberry',b'Cherry_(including_sour)',b'Corn_(maize)',b'Grape',b'Orange',b'Peach',"b'Pepper,_bell'",b'Potato',b'Raspberry',b'Rice',b'Soybean',b'Squash',b'Strawberry',b'Tomato'
b'Apple',1826,8,8,4,2,0,3,9,2,2,0,0,0,6,73
b'Blueberry',35,383,0,0,0,0,5,5,0,0,0,2,0,7,17
b'Cherry_(including_sour)',8,0,844,0,4,0,0,4,0,0,0,2,0,0,15
b'Corn_(maize)',6,0,3,1799,5,0,0,0,1,1,2,0,3,0,9
b'Grape',5,0,2,0,1756,2,4,2,3,2,0,1,0,2,26
b'Orange',2,0,0,0,9,462,4,1,0,0,0,0,0,0,25
b'Peach',16,4,0,2,14,0,764,16,11,0,0,0,1,0,63
"b'Pepper,_bell'",45,8,1,3,19,0,5,793,15,11,0,12,0,15,48
b'Potato',4,1,0,0,1,0,0,11,1371,8,0,1,1,1,27
b'Raspberry',5,0,0,2,3,0,0,2,5,420,0,0,0,2,6
b'Rice',0,0,0,0,0,0,0,0,0,0,592,0,0,0,0
b'Soybean',15,3,7,0,13,0,0,11,2,1,0,422,0,1,30
b'Squash',0,0,0,9,6,1,0,0,1,0,0,0,413,0,4
b'Strawberry',13,0,2,1,3,0,0,4,3,3,0,0,0,867,4
b'Tomato',40,8,10,4,20,4,20,9,30,3,0,6,2,12,4417
