,b'Apple',b'Blueberry',b'Cherry_(including_sour)',b'Corn_(maize)',b'Grape',b'Orange',b'Peach',"b'Pepper,_bell'",b'Potato',b'Raspberry',b'Rice',b'Soybean',b'Squash',b'Strawberry',b'Tomato'
b'Apple',1836,6,8,1,7,0,6,9,9,3,0,0,0,8,50
b'Blueberry',24,407,0,0,1,0,1,1,0,0,0,2,0,3,15
b'Cherry_(including_sour)',1,0,858,0,0,0,0,6,4,0,0,2,0,0,6
b'Corn_(maize)',1,0,2,1809,6,0,0,0,0,1,2,0,0,0,8
b'Grape',7,0,0,0,1768,0,0,5,2,0,0,3,0,2,18
b'Orange',1,0,0,1,7,472,2,3,0,1,1,0,0,0,15
b'Peach',13,5,0,3,9,0,800,10,12,0,0,0,0,0,39
"b'Pepper,_bell'",25,5,3,1,12,0,5,871,13,11,0,5,0,9,15
b'Potato',2,1,0,0,0,0,0,7,1394,7,0,0,0,0,15
b'Raspberry',6,0,0,0,0,0,0,4,6,425,0,0,0,1,3
b'Rice',0,0,0,0,0,0,0,0,0,0,592,0,0,0,0
b'Soybean',8,3,7,0,4,0,3,11,3,0,0,449,0,1,16
b'Squash',0,0,0,4,2,0,0,0,1,0,0,0,427,0,0
b'Strawberry',4,0,0,0,2,0,0,2,0,3,0,0,0,883,6
b'Tomato',33,5,4,3,15,6,18,8,30,0,0,11,2,7,4443
